Healthy Pet Technologies,Dr. Weiss,Spring 2013,"$2,000 "
Wildlife Conservation Society BX Zoo Research Grant,Dr. Weiss,Spring 2013,"$4,000 "
FCRH Faculty Undergraduate Research Grant,Dr. Weiss,Fall 2012,"$1,200 "
Fordham Faculty Research Grant,Dr. Weiss,Spring 2012,"$12,480 "
FCRH Faculty Undergraduate Research Grant,Dr. Weiss,Spring 2012,"$3,860 "
National Science Foundation Grant,"Dr. Weiss, Dr. Tryon",Fall 2011,"$420,000 "
Fordham Faculty Research Grant,Dr. Weiss,Spring 2011,"$12,000 "
FCRH Faculty Undergraduate Research Grant,Dr. Weiss,Spring 2011,"$2,000 "
Google Faculty Research Award,Dr. Weiss,Summer 2010,"$25,000 "
FCRH Research Instrumentation Grant,Dr. Weiss,Spring 2010,"$5,000 "
Fordham Faculty Research Grant,Dr. Weiss,Spring 2010,"$12,415 "
