HTC, Nexus One, N/A, Retired
HTC, Nexus One, N/A, Retired
HTC, Nexus One, N/A, Retired
HTC, Hero, N/A, Retired
HTC, Hero, N/A, Retired
HTC, Hero, N/A, Retired
HTC, Evo 4G, N/A, Retired
HTC, Evo 4G, N/A, Data Collection
HTC, Evo 4G, N/A, Gait Testing
Motorola, XPRT, N/A, Retired
Samsung, Transform, N/A, Retired
Samsung, Intercept, N/A, Retired
HTC, Evo 3D, N/A, Data Collection
Samsung, Galaxy S3, Sprint, Testing
Motorola, Droid Razr Maxx HD, Verizon, Testing
Samsung, Replenish, N/A, Retired
Samsung, Nexus S, N/A, Testing
Samsung, Epic, N/A, Data Collection
HTC, One, AT&T, Testing
Samsung, Galaxy S3, N/A, Data Collection
HTC, Evo 4G LTE, Sprint, Testing
Samsung, Galaxy Nexus, Sprint, Testing
Samsung, Galaxy S3, Sprint, Testing
Samsung, Galaxy S3, Sprint, Testing
Samsung, Galaxy S3, Verizon, Testing
Samsung, Galaxy S4, Sprint, Testing
HTC, One, Sprint, Testing
